customer_id,customer_name,gender,city,phone,email,signup_date
6001,Rajan Sharma,M,Mumbai,8710638396,rajan@example.com,2022-03-17
6002,Rajan Patel,M,Bangalore,8975853504,rajan@example.com,2023-10-01
6003,Usha Pandey,F,Mumbai,9088752129,usha@example.com,2025-10-19
6004,Sunita Rao,F,Bangalore,8989387336,sunita@example.com,2024-05-04
6005,Kritika Patel,M,Kolkata,9991649151,kritika@example.com,2025-11-19
6006,Manasa Rao,M,Kolkata,7489353174,manasa@example.com,2025-12-24
6007,Manasa Pandey,F,Mumbai,9638315969,manasa@example.com,2025-09-05
6008,Swathi Mehta,M,Pune,9835655066,swathi@example.com,2023-06-02
6009,Kritika Shah,M,Bangalore,9468364761,kritika@example.com,2025-01-17
6010,Swathi Pandey,M,Kolkata,8336657499,swathi@example.com,2024-01-07
6011,Rajan Sharma,F,Hyderabad,8916776607,rajan@example.com,2025-12-31
6012,Manasa Shah,F,Pune,7923506685,manasa@example.com,2024-03-08
6013,Arjun Tiwari,M,Mumbai,8371408717,arjun@example.com,2025-11-03
6014,Kritika Pandey,M,Mumbai,7297161841,kritika@example.com,2023-06-07
6015,Rajan Mehta,F,Bangalore,7240760535,rajan@example.com,2025-04-28
6016,Manasa Tiwari,M,Kolkata,9146847708,manasa@example.com,2025-06-08
6017,Manasa Tiwari,F,Chennai,7903236756,manasa@example.com,2022-01-05
6018,Vandana Tiwari,F,Kolkata,8439238467,vandana@example.com,2025-04-10
6019,Kritika Shah,F,Chennai,7854772414,kritika@example.com,2022-01-26
6020,Vandana Tiwari,F,Mumbai,7135152095,vandana@example.com,2025-06-07
6021,Manasa Shah,F,Bangalore,7822741912,manasa@example.com,2023-03-29
6022,Kritika Sharma,M,Hyderabad,9077161085,kritika@example.com,2022-09-02
6023,Rajan Rao,F,Kolkata,8371030356,rajan@example.com,2024-07-11
6024,Vandana Rao,F,Kolkata,9501411387,vandana@example.com,2025-03-16
6025,Arjun Shah,M,Kolkata,7649963564,arjun@example.com,2022-12-16
6026,Sunita Kaur,F,Mumbai,9925194807,sunita@example.com,2025-07-11
6027,Tarun Pandey,M,Pune,9361927114,tarun@example.com,2025-09-13
6028,Manasa Mehta,F,Hyderabad,9639042004,manasa@example.com,2024-09-13
6029,Swathi Mehta,M,Delhi,9019570811,swathi@example.com,2023-04-27
6030,Vandana Kaur,M,Pune,7832371303,vandana@example.com,2022-12-16
6031,Usha Tiwari,F,Pune,9714690138,usha@example.com,2024-04-05
6032,Vandana Tiwari,F,Mumbai,8607481245,vandana@example.com,2022-03-18
6033,Vandana Mehta,F,Bangalore,9753333626,vandana@example.com,2025-09-26
6034,Sachin Tiwari,M,Chennai,7134135959,sachin@example.com,2023-02-12
6035,Sunita Patel,F,Hyderabad,8529497828,sunita@example.com,2022-09-12
6036,Arjun Rao,F,Pune,9454297195,arjun@example.com,2026-02-08
6037,Sachin Kaur,F,Pune,7168172697,sachin@example.com,2024-04-28
6038,Vandana Patel,M,Chennai,9756939171,vandana@example.com,2025-08-13
6039,Manasa Tiwari,M,Chennai,7058054124,manasa@example.com,2025-06-22
6040,Kritika Shah,F,Chennai,9727807541,kritika@example.com,2023-04-17
6041,Sachin Tiwari,M,Pune,8704565813,sachin@example.com,2022-04-20
6042,Swathi Rao,F,Delhi,9070983714,swathi@example.com,2022-12-06
6043,Arjun Kaur,M,Kolkata,8330646532,arjun@example.com,2025-04-27
6044,Kritika Pandey,F,Pune,7295074510,kritika@example.com,2025-03-18
6045,Kritika Rao,M,Delhi,8825415544,kritika@example.com,2024-05-17
6046,Swathi Pandey,F,Hyderabad,8786248721,swathi@example.com,2024-04-02
6047,Sunita Kaur,F,Bangalore,7461395435,sunita@example.com,2026-01-12
6048,Swathi Pandey,F,Hyderabad,9565146372,swathi@example.com,2022-06-01
6049,Sunita Patel,F,Delhi,9205689302,sunita@example.com,2023-03-09
6050,Sachin Patel,M,Kolkata,9039339577,sachin@example.com,2025-08-04
6051,Rajan Pandey,M,Kolkata,7240098759,rajan@example.com,2023-09-02
6052,Usha Mehta,F,Kolkata,9067137265,usha@example.com,2022-10-23
6053,Usha Mehta,F,Hyderabad,7885684336,usha@example.com,2023-08-22
6054,Rajan Sharma,M,Chennai,9685500797,rajan@example.com,2023-12-01
6055,Rajan Sharma,F,Pune,9591412728,rajan@example.com,2023-01-17
6056,Arjun Patel,M,Delhi,9842162216,arjun@example.com,2024-05-06
6057,Manasa Pandey,F,Bangalore,7851587359,manasa@example.com,2024-05-30
6058,Arjun Tiwari,M,Mumbai,9006546078,arjun@example.com,2025-04-08
6059,Sunita Kaur,F,Hyderabad,9364407000,sunita@example.com,2025-06-18
6060,Tarun Pandey,M,Hyderabad,9125899361,tarun@example.com,2025-08-25
6061,Rajan Tiwari,M,Chennai,9845636862,rajan@example.com,2025-10-09
6062,Sachin Shah,M,Pune,8739093948,sachin@example.com,2022-09-14
6063,Vandana Mehta,M,Delhi,8841726382,vandana@example.com,2023-01-16
6064,Usha Rao,F,Pune,8674140386,usha@example.com,2025-03-06
6065,Sunita Patel,M,Hyderabad,7923086829,sunita@example.com,2023-03-05
6066,Sachin Kaur,F,Kolkata,9113180795,sachin@example.com,2023-09-13
6067,Manasa Shah,F,Bangalore,8038410387,manasa@example.com,2023-11-19
6068,Sachin Mehta,F,Chennai,7122758779,sachin@example.com,2025-11-02
6069,Sachin Shah,F,Delhi,7241681738,sachin@example.com,2024-09-22
6070,Vandana Pandey,M,Chennai,8170222544,vandana@example.com,2023-04-11
6071,Kritika Pandey,M,Hyderabad,8747962067,kritika@example.com,2024-12-25
6072,Swathi Sharma,F,Mumbai,9596696625,swathi@example.com,2024-03-03
6073,Rajan Tiwari,F,Bangalore,8363406172,rajan@example.com,2024-09-20
6074,Rajan Sharma,M,Kolkata,9086884720,rajan@example.com,2025-07-17
6075,Sunita Tiwari,F,Pune,7844254978,sunita@example.com,2025-03-24
6076,Sunita Patel,F,Mumbai,7950415612,sunita@example.com,2022-01-14
6077,Arjun Sharma,F,Delhi,8212091283,arjun@example.com,2024-02-06
6078,Manasa Patel,F,Kolkata,7977430210,manasa@example.com,2022-01-02
6079,Rajan Rao,F,Kolkata,7834356680,rajan@example.com,2025-06-22
6080,Usha Mehta,F,Mumbai,8293643853,usha@example.com,2022-05-26
6081,Tarun Mehta,M,Pune,9271339623,tarun@example.com,2022-05-27
6082,Tarun Pandey,F,Delhi,8466206473,tarun@example.com,2024-07-13
6083,Sachin Shah,F,Hyderabad,8598229739,sachin@example.com,2023-01-11
6084,Sunita Rao,F,Mumbai,8853126988,sunita@example.com,2024-05-17
6085,Manasa Patel,M,Bangalore,7712612067,manasa@example.com,2023-12-19
6086,Sachin Shah,M,Chennai,7386098551,sachin@example.com,2022-06-23
6087,Tarun Tiwari,M,Mumbai,8298385906,tarun@example.com,2025-11-23
6088,Rajan Rao,F,Mumbai,9508929932,rajan@example.com,2023-01-09
6089,Tarun Patel,F,Mumbai,7087449509,tarun@example.com,2026-02-07
6090,Manasa Kaur,F,Chennai,8734688701,manasa@example.com,2022-12-21
6091,Swathi Rao,M,Hyderabad,9107921278,swathi@example.com,2024-08-19
6092,Usha Patel,F,Kolkata,7346742966,usha@example.com,2022-11-28
6093,Manasa Shah,F,Delhi,9890618814,manasa@example.com,2024-10-27
6094,Kritika Sharma,M,Kolkata,9092768080,kritika@example.com,2022-08-10
6095,Kritika Kaur,M,Pune,7505900728,kritika@example.com,2022-06-03
6096,Vandana Patel,M,Kolkata,8358629998,vandana@example.com,2023-05-05
6097,Tarun Kaur,F,Delhi,9658257885,tarun@example.com,2025-01-05
6098,Sachin Patel,F,Kolkata,8826204210,sachin@example.com,2024-01-06
6099,Kritika Pandey,M,Bangalore,7048736881,kritika@example.com,2025-07-05
6100,Manasa Mehta,F,Delhi,7341391187,manasa@example.com,2024-02-14
6101,Sunita Mehta,F,Pune,8962070856,sunita@example.com,2024-11-09
6102,Arjun Tiwari,F,Pune,8160664532,arjun@example.com,2023-09-15
6103,Kritika Rao,F,Mumbai,9103035940,kritika@example.com,2023-05-18
6104,Arjun Patel,M,Chennai,8705643058,arjun@example.com,2025-01-02
6105,Swathi Mehta,F,Bangalore,9812198664,swathi@example.com,2024-02-08
6106,Arjun Shah,F,Chennai,7393413888,arjun@example.com,2022-10-10
